model,config,block,importance,lo,hi,p
XGBoost,0,Volume,0.08336501485630154,0.0547515223735387,0.13332757203381024,0.0
XGBoost,0,Area,0.0129543261290056,0.005433383143199614,0.021731084982567466,0.0
XGBoost,0,MaxHeight,-0.0014505695628709292,-0.02098933337735705,0.012803534386283951,0.955
XGBoost,0,CenterDiviation,0.004055753903667858,0.0025494455364152265,0.006999282322549302,0.0
XGBoost,0,UsedCoilArea,0.0019401495604494112,-0.0014150772138921213,0.005552029576510298,0.225
XGBoost,0,SensorTemp,0.002395157651620128,0.0014905970107242067,0.004250273481934621,0.0
XGBoost,0,SensorValueRAW,0.7277692360802702,0.55399751950556,1.0331749679669395,0.0
XGBoost,0,GEOMETRY_BLOCK,0.07857531917588267,0.04504358763324951,0.13268620034161105,0.0
XGBoost,1,Volume,0.07201510383399334,0.04651970172125569,0.11196215510782669,0.0
XGBoost,1,Area,0.012444360553506062,0.005591268616889878,0.0207092931378413,0.0
XGBoost,1,MaxHeight,-0.0016114707233343406,-0.019082051004069588,0.011574045169457826,0.9
XGBoost,1,CenterDiviation,0.003637954987581238,0.0022446481198518746,0.006470574964341004,0.0
XGBoost,1,UsedCoilArea,0.001539888694003566,-0.0014129479881736184,0.004728120318003592,0.29
XGBoost,1,SensorTemp,0.0020353646056926467,0.0012668666102588655,0.0037002415480400837,0.0
XGBoost,1,SensorValueRAW,0.7370381179721669,0.5563211687103066,1.0398162875067076,0.0
XGBoost,1,GEOMETRY_BLOCK,0.07441231757926059,0.04199602506099108,0.1278598000499418,0.0
XGBoost,2,Volume,0.08447571931768216,0.054143139036860424,0.13843268064337635,0.0
XGBoost,2,Area,0.015999902926458143,0.008019603541184387,0.02594220463723813,0.0
XGBoost,2,MaxHeight,-0.0036467621004218076,-0.026337725639225,0.012284744362984197,0.82
XGBoost,2,CenterDiviation,0.004242722472246552,0.0028235589372020697,0.007187408714789683,0.0
XGBoost,2,UsedCoilArea,0.002602929981883939,-0.0003639478720435296,0.005842401790679618,0.08
XGBoost,2,SensorTemp,0.002447582096965384,0.0014730626777973656,0.004321655747865742,0.0
XGBoost,2,SensorValueRAW,0.7303641756518673,0.5559752649184482,1.0342532225355354,0.0
XGBoost,2,GEOMETRY_BLOCK,0.07906484342092346,0.042762233733250214,0.1352010978316874,0.0
XGBoost,3,Volume,0.07776555366388083,0.05212791313273232,0.1201295391935226,0.0
XGBoost,3,Area,0.014965463243616806,0.0069525393102355835,0.02455890154231531,0.0
XGBoost,3,MaxHeight,-0.0032320596614956454,-0.02527029818489726,0.011849995234720639,0.84
XGBoost,3,CenterDiviation,0.003755852332385734,0.0024486999423985966,0.006521826200358959,0.0
XGBoost,3,UsedCoilArea,0.0017246297318950221,-0.0008683135992878815,0.004543247295026288,0.2
XGBoost,3,SensorTemp,0.002453656879990662,0.0015183735183325305,0.004434996444281695,0.0
XGBoost,3,SensorValueRAW,0.7304234124609331,0.5537270095878829,1.0340504114362081,0.0
XGBoost,3,GEOMETRY_BLOCK,0.08198217040524769,0.04559331986084171,0.14103588187645447,0.0
XGBoost,4,Volume,0.07102863469239717,0.0458422424476414,0.11091184737761953,0.0
XGBoost,4,Area,0.013344024013987044,0.006176110853399231,0.0214207570554984,0.0
XGBoost,4,MaxHeight,-0.002731729551283646,-0.021091879373074482,0.01048710757506876,0.83
XGBoost,4,CenterDiviation,0.0040261507270805685,0.002643327340010532,0.006878999585607553,0.0
XGBoost,4,UsedCoilArea,0.0019512622700859072,-0.0007309189585332803,0.0049307849510017605,0.155
XGBoost,4,SensorTemp,0.0020674997343749224,0.0012478808830967026,0.0037794417415652703,0.0
XGBoost,4,SensorValueRAW,0.7354218378809453,0.5581260998710788,1.0424432602402116,0.0
XGBoost,4,GEOMETRY_BLOCK,0.0726719910588226,0.0400641793682742,0.12224378819489827,0.0
XGBoost,5,Volume,0.08599052392436468,0.057299440572256284,0.13829150105295004,0.0
XGBoost,5,Area,0.01827154605184711,0.00879075414645202,0.02969248434669893,0.0
XGBoost,5,MaxHeight,-0.0018829947337007935,-0.02613305086319076,0.01464877394373363,0.95
XGBoost,5,CenterDiviation,0.004230074413422602,0.0026576760506765744,0.0072497005674103015,0.0
XGBoost,5,UsedCoilArea,0.002971405617732903,0.00025334513526629196,0.006750605782554775,0.025
XGBoost,5,SensorTemp,0.002557141557253728,0.0016156930808177094,0.004352749485409543,0.0
XGBoost,5,SensorValueRAW,0.7243359236562706,0.5497562188057753,1.0335906508604236,0.0
XGBoost,5,GEOMETRY_BLOCK,0.08537847094983042,0.04886539199761352,0.14649987179293444,0.0
XGBoost,6,Volume,0.07753929820527627,0.05188220879729045,0.12085666256130288,0.0
XGBoost,6,Area,0.012795514128052465,0.005265538477248294,0.02158038407298867,0.0
XGBoost,6,MaxHeight,-0.0017378962116679775,-0.01953854383549007,0.01113203043281007,0.91
XGBoost,6,CenterDiviation,0.004288282255388465,0.002718700956666281,0.007420434655189033,0.0
XGBoost,6,UsedCoilArea,0.0024972371656600822,-0.0007363738314902391,0.006245566692532379,0.14
XGBoost,6,SensorTemp,0.002234850824468504,0.0013607327131440917,0.004116832276146931,0.0
XGBoost,6,SensorValueRAW,0.7298800132335244,0.5534699444602352,1.0281250247132847,0.0
XGBoost,6,GEOMETRY_BLOCK,0.07550269865438941,0.04319243971214626,0.12549158380835285,0.0
XGBoost,7,Volume,0.07207116642708511,0.047819184595646616,0.11010161255938511,0.0
XGBoost,7,Area,0.015743610608249137,0.007992951369376552,0.02529745611989144,0.0
XGBoost,7,MaxHeight,-0.003976862995341279,-0.02591703708270153,0.011333619064007643,0.775
XGBoost,7,CenterDiviation,0.0038803392153218264,0.002470270184526649,0.006736902870786088,0.0
XGBoost,7,UsedCoilArea,0.0025112417477696214,-0.00031422495825573197,0.005698186695684368,0.085
XGBoost,7,SensorTemp,0.0021807578093973046,0.0013417206005975819,0.0038404382895728026,0.0
XGBoost,7,SensorValueRAW,0.7402240766925104,0.5614399239399108,1.0447981134311546,0.0
XGBoost,7,GEOMETRY_BLOCK,0.076184360234825,0.04140800679691443,0.1297772500872519,0.0
XGBoost,8,Volume,0.11658449363143797,0.07237517880716411,0.20375312542321164,0.0
XGBoost,8,Area,0.020627377339965003,0.009276665886584316,0.03589100265455973,0.0
XGBoost,8,MaxHeight,-0.00013751292781616353,-0.021730891668964997,0.01622361961154456,0.87
XGBoost,8,CenterDiviation,0.00440214224307478,0.0027805075880828894,0.007545465135112306,0.0
XGBoost,8,UsedCoilArea,0.003066445633885251,0.00016272801870315104,0.007142998121189982,0.035
XGBoost,8,SensorTemp,0.0028417576904578024,0.0016508238866431268,0.005080849006746346,0.0
XGBoost,8,SensorValueRAW,0.6977774809343653,0.5255560407504968,0.9741200999437758,0.0
XGBoost,8,GEOMETRY_BLOCK,0.09016211484816361,0.05300839785645054,0.15134686088531643,0.0
XGBoost,9,Volume,0.08091013232906241,0.05192706131901768,0.13445768551043646,0.0
XGBoost,9,Area,0.016897479562879014,0.008404529069381491,0.027426564904693907,0.0
XGBoost,9,MaxHeight,-0.004311873186400916,-0.02708264280826649,0.011789508477642928,0.765
XGBoost,9,CenterDiviation,0.0043093388093858875,0.0028635663524279155,0.007309993925341991,0.0
XGBoost,9,UsedCoilArea,0.002187948934115669,-0.0007667476362082787,0.00542045236227021,0.12
XGBoost,9,SensorTemp,0.002398809937159796,0.0014521817965337303,0.0043175111003448275,0.0
XGBoost,9,SensorValueRAW,0.7292675939605535,0.5532754063726579,1.0323536049562647,0.0
XGBoost,9,GEOMETRY_BLOCK,0.07707595776387755,0.04107151844139665,0.13146082306373397,0.0
XGBoost,10,Volume,0.0763609819742811,0.05082256025175249,0.11957144259550936,0.0
XGBoost,10,Area,0.014785957525318527,0.0067718320176113934,0.02389929414883653,0.0
XGBoost,10,MaxHeight,-0.0025786283211652883,-0.022956700418197657,0.012054881615265267,0.85
XGBoost,10,CenterDiviation,0.0038186192934278607,0.0025211278653868353,0.006482261016378143,0.0
XGBoost,10,UsedCoilArea,0.002070327047489773,-0.0008959116791396049,0.005127087567639575,0.14
XGBoost,10,SensorTemp,0.002241359489014938,0.0013172776514642271,0.004059089766633683,0.0
XGBoost,10,SensorValueRAW,0.7240673725607482,0.5489427077882538,1.024380748949376,0.0
XGBoost,10,GEOMETRY_BLOCK,0.07937002137345861,0.045160092939583285,0.13375565326823785,0.0
XGBoost,11,Volume,0.08728031597963781,0.05823033482629041,0.1404940421453919,0.0
XGBoost,11,Area,0.015958204100697815,0.007298808919300035,0.026433359369941956,0.0
XGBoost,11,MaxHeight,-0.002809893691763987,-0.02803939468037657,0.013788725087775552,0.89
XGBoost,11,CenterDiviation,0.00417438148606164,0.0027760417279498574,0.007035081130479032,0.0
XGBoost,11,UsedCoilArea,0.002020030365938341,-0.0016985704792425531,0.005940845077543801,0.24
XGBoost,11,SensorTemp,0.002514879591373087,0.0014951498797084017,0.004642575264135415,0.0
XGBoost,11,SensorValueRAW,0.7218368766943033,0.548056451630167,1.0300859426479134,0.0
XGBoost,11,GEOMETRY_BLOCK,0.08168487610769248,0.043434185782399215,0.13999243391109512,0.0
XGBoost,12,Volume,0.0760848344700189,0.04863764588229948,0.11903736136671046,0.0
XGBoost,12,Area,0.0148718639457468,0.007764316276134278,0.024053083320558048,0.0
XGBoost,12,MaxHeight,-0.004413996402486076,-0.027006680679368497,0.010764132397704887,0.73
XGBoost,12,CenterDiviation,0.003933079489873759,0.002565641019104811,0.006760877017914792,0.0
XGBoost,12,UsedCoilArea,0.0017803924378037017,-0.0008176411014651524,0.004592455572714834,0.18
XGBoost,12,SensorTemp,0.0021708060161342857,0.0013596384807016415,0.0038909261265161863,0.0
XGBoost,12,SensorValueRAW,0.7353575627054693,0.55871305025037,1.040584288680358,0.0
XGBoost,12,GEOMETRY_BLOCK,0.07748429849437799,0.039981957016333086,0.13433614739922375,0.0
XGBoost,13,Volume,0.0703085903563091,0.046603651760213784,0.10796171156092683,0.0
XGBoost,13,Area,0.015307652277755102,0.007824013658671459,0.025212474680828212,0.0
XGBoost,13,MaxHeight,-0.0022298341937704302,-0.02250076364007976,0.011207851651198955,0.9
XGBoost,13,CenterDiviation,0.003715262345487025,0.0022834363876387737,0.006631216157724936,0.0
XGBoost,13,UsedCoilArea,0.002140179382296492,-0.0004526240343031449,0.005021925312855054,0.1
XGBoost,13,SensorTemp,0.002283810907493633,0.001430187628577015,0.004129920635641863,0.0
XGBoost,13,SensorValueRAW,0.7304331463985192,0.5523023738523971,1.0257013690797459,0.0
XGBoost,13,GEOMETRY_BLOCK,0.08557845065308689,0.049934398118459844,0.14651682675667507,0.0
XGBoost,14,Volume,0.07168095216232617,0.046490163041815594,0.11147146179919627,0.0
XGBoost,14,Area,0.013508526153652611,0.0064291512939433,0.02206016886484614,0.0
XGBoost,14,MaxHeight,-0.003915174245406772,-0.025059238430007416,0.010841208053845796,0.79
XGBoost,14,CenterDiviation,0.0039460154175702256,0.0024678148149140074,0.006935957395599423,0.0
XGBoost,14,UsedCoilArea,0.0020839749508920757,-0.0006237134644218211,0.005164234339499293,0.14
XGBoost,14,SensorTemp,0.0021491316522284087,0.0013308792068293356,0.0037653654136558293,0.0
XGBoost,14,SensorValueRAW,0.7383766764479268,0.5573736165618629,1.0441122277657946,0.0
XGBoost,14,GEOMETRY_BLOCK,0.07523391984226202,0.039352688176477524,0.12928710279988523,0.0
RandomForest,0,Volume,0.09812429968440661,0.06854710939147353,0.1510758110386124,0.0
RandomForest,0,Area,0.016736132291071626,0.0045144301744538705,0.029948486355408734,0.01
RandomForest,0,MaxHeight,0.006392167329752119,-0.0011954687523844842,0.015162079267656843,0.095
RandomForest,0,CenterDiviation,0.000445912761624756,0.00024180870370723863,0.0007764685510248226,0.0
RandomForest,0,UsedCoilArea,0.0014842239158648907,4.874639627340251e-05,0.0032908286132790347,0.035
RandomForest,0,SensorTemp,0.00017032488176316196,5.189851568561943e-05,0.00037882682104030114,0.005
RandomForest,0,SensorValueRAW,0.6356930785619656,0.46077179272077706,0.910482865118421,0.0
RandomForest,0,GEOMETRY_BLOCK,0.15706680464150058,0.11079312926505618,0.23002993062710614,0.0
RandomForest,1,Volume,0.09425700387791447,0.06623910474724132,0.1461928025542981,0.0
RandomForest,1,Area,0.017347510052455384,0.00531842996937278,0.031028517525360583,0.01
RandomForest,1,MaxHeight,0.006628173903653889,-0.0009546663712225924,0.015141566503459642,0.08
RandomForest,1,CenterDiviation,0.0004502363920598773,0.0002660842500526756,0.0007630597472108535,0.0
RandomForest,1,UsedCoilArea,0.0014949654377625077,0.00011012825037034491,0.003255037102177203,0.03
RandomForest,1,SensorTemp,0.000189069387237506,6.741289535441009e-05,0.0004048866617886171,0.005
RandomForest,1,SensorValueRAW,0.6343303728896351,0.4611984162643372,0.9095542914855821,0.0
RandomForest,1,GEOMETRY_BLOCK,0.15740862634505692,0.11156546241717571,0.230038403425166,0.0
