model,variant,n_features,log_r2,raw_r2,rmse,mae
XGBoost,baseline_7,7,0.9465870061221258,0.945406779656527,7.589066989617728,4.729808274586151
RandomForest,baseline_7,7,0.9485678872185408,0.9216396582116986,9.092162532378586,5.747656091593562
